accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,lfoot_fl,lfoot_fr,lfoot_rl,lfoot_rr,rfoot_fl,rfoot_fr,rfoot_rl,rfoot_rr,vx,vy,wz,vtotal,StepHeight,MaxStepX,MaxStepY,MaxStepTheta,Frequency,timestamp
2.8125,0.43750002980232239,-65.5,0.0,-0.5245208740234375,0.1430511474609375,-0.0036428610328584909,0.0038345495704561472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481833.5851271
2.8125,0.43750002980232239,-65.5,0.0,-0.5245208740234375,0.1430511474609375,-0.0036428610328584909,0.0026844183448702097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481833.70503
2.5625,0.625,-65.375,0.1430511474609375,-1.7166138887405396,0.23841859400272369,-0.0036428610328584909,0.0026844183448702097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481833.801563
2.5625,0.625,-65.375,0.1430511474609375,-1.7166138887405396,0.23841859400272369,-0.0036428610328584909,0.0026844183448702097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481833.903672
2.5625,0.625,-65.375,0.1430511474609375,-1.7166138887405396,0.23841859400272369,-0.0036428610328584909,0.0026844183448702097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481834.0388081
2.125,0.3125,-65.3125,0.047683719545602798,-2.0027163028717041,-1.2874603271484375,-0.0030677954200655222,-0.0019175370689481497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481834.1082671
2.125,0.3125,-65.3125,0.047683719545602798,-2.0027163028717041,-1.2874603271484375,-0.0030677954200655222,-0.0019175370689481497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481834.2185211
2.125,0.3125,-65.3125,0.047683719545602798,-2.0027163028717041,-1.2874603271484375,-0.0030677954200655222,-0.0019175370689481497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481834.3373921
2.1875,0.375,-65.375,0.0,0.76293951272964478,0.42915347218513489,-0.0034511724952608347,-0.0015341599937528372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481834.4418981
2.1875,0.375,-65.375,0.0,0.76293951272964478,0.42915347218513489,-0.0034511724952608347,-0.0015341599937528372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000001,0.040000000000000001,0.14000000000000001,0.34999999999999998,1.0,1756481834.542592
